"QueryType";"Server";"NameHost";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presentdordrecht.nl";"CNAME";"Unicode";"Answer";"58";"40"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"40"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"A";;;"autod.ha-autod.office.com";"A";"Unicode";"Answer";"4";"59"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.stichtingpresent.nl";"CNAME";"Unicode";"Answer";"58";"59"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"59"
"CNAME";"autod.ms-acdc-autod.office.com";"autod.ms-acdc-autod.office.com";"autod.ha-autod.office.com";"CNAME";"Unicode";"Answer";"70";"59"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"A";;;"autod.ms-acdc-autod.office.com";"A";"Unicode";"Answer";"4";"9"
"CNAME";"autodiscover.outlook.com";"autodiscover.outlook.com";"autodiscover.presenthaarlem.nl";"CNAME";"Unicode";"Answer";"58";"59"
"CNAME";"autod.ha-autod.office.com";"autod.ha-autod.office.com";"autodiscover.outlook.com";"CNAME";"Unicode";"Answer";"60";"59"
